Price,Cup,Hero
7026.476578,47000,84
292.769857,6308,43
761.201629,20800,54
989.562118,27700,65
175.661914,6397,33
175.661914,5068,28
585.539715,20598,64
234.215886,7608,35
4332.99389,43000,83
3167.769857,32000,84
7612.016293,51000,84
4684.317719,43500,84
585.539715,20656,54
292.769857,6800,39
21079.429735,77700,85
445.010183,3890,30
1089.10387,12370,50
351.323829,3844,33
761.201629,14034,45
12.881874,40,2
292.769857,1800,37
1200.000407,27000,68
117.107943,500,24
936.863544,24700,73
3970.904489,56000,84
2342.158859,18500,55
1112.525458,35700,79
3513.238289,26100,65
468.431772,2500,31
351.323829,7800,39
585.539715,6600,39
3513.238289,29028,70
702.647658,12652,47
197.912424,2800,20
1.053971,1,1
76.120163,1400,16
4684.317719,45000,85
2927.698574,35000,81
819.755601,27000,67
1169.90835,28238,79
58.553971,2,5
69.093686,10,6
58.553971,657,21
233.044807,3000,34
234.215886,5750,39
57.382892,200,10
526.985743,15840,57
233.044807,3418,27
1756.619145,23664,75
259.979633,5747,36
291.598778,8000,44
1112.525458,26797,69
1985.452244,31300,78
1485.245751,21297,53
386.456212,10000,41
175.661914,4300,27
263.492872,8500,32
351.323829,11000,37
1171.07943,10000,33
351.323829,6821,43
5269.857434,56000,82
1932.281059,18266,46
585.539715,5880,32
234.215886,2108,25
2342.158859,23009,55
4684.317719,14117,56
4098.778004,31000,82
5855.397149,46111,84
1979.124236,35700,80
1979.124236,35700,80
1979.124236,35700,80
1979.124236,35700,80
2927.698574,27000,78
2342.158859,26000,78
761.201629,1800,23
2342.158859,30000,78
297.454175,13000,49
152.240326,2034,29
351.323829,878,15
351.323829,740,13
468.431772,1012,13
175.661914,5500,26
1143.47406,27615,66
208.18279,2044,27
292.769857,12000,38
1699.997454,32382,74
146.384929,1400,20
3981.670061,40000,83
936.863544,4600,43
585.539715,16356,60
175.661914,769,16
351.323829,6430,35
